#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: False
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 60 C/min
#	Sample name: XTBC004
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
25.901,53.62,21.1,7.27,0.712,349.75
26.243,53.8,21.2,7.71,0.756,350.25
26.593,53.97,21.2,8.55,0.838,350.67
26.925,54.15,21.3,8.62,0.845,350.33
27.266,54.32,21.4,8.68,0.851,349.75
27.601,54.49,21.5,10.03,0.983,349.58
27.948,54.66,21.5,10.06,0.986,350.08
28.277,54.84,21.6,10.05,0.985,350.25
28.618,55.0,21.7,11.04,1.082,349.83
28.959,55.18,21.7,11.32,1.109,349.17
29.3,55.35,21.8,11.31,1.108,349.25
29.641,55.52,21.9,12.28,1.204,349.75
29.972,55.7,21.9,12.64,1.239,349.58
30.312,55.87,22.0,12.87,1.262,349.0
30.653,56.04,22.1,13.66,1.339,348.58
30.995,56.21,22.1,14.14,1.386,349.17
31.337,56.39,22.2,13.9,1.363,349.58
31.679,56.56,22.3,14.8,1.45,349.08
32.009,56.73,22.3,15.64,1.532,348.42
32.35,56.9,22.4,15.83,1.551,348.42
32.691,57.07,22.5,17.0,1.666,349.0
33.032,57.25,22.5,17.51,1.716,349.0
33.374,57.42,22.6,16.87,1.654,348.33
33.716,57.59,22.7,17.51,1.716,347.75
34.055,57.77,22.7,18.71,1.834,348.17
34.387,57.94,22.8,18.17,1.78,348.75
34.729,58.11,22.9,18.73,1.835,348.58
35.07,58.28,22.9,19.43,1.904,347.83
35.411,58.46,23.0,19.2,1.882,347.5
35.753,58.63,23.1,19.51,1.912,348.08
36.085,58.8,23.2,20.4,2.0,348.58
36.423,58.97,23.2,20.39,1.999,348.08
36.771,59.14,23.3,20.69,2.027,347.25
37.106,59.32,23.4,21.58,2.115,347.42
37.447,59.49,23.4,21.58,2.115,348.08
37.788,59.66,23.5,22.37,2.193,348.08
38.12,59.84,23.6,23.37,2.291,347.25
38.46,60.01,23.6,23.33,2.286,346.67
38.8,60.18,23.7,24.08,2.36,347.25
39.141,60.35,23.8,25.37,2.487,347.92
39.483,60.52,23.8,25.53,2.502,347.58
39.839,60.7,23.9,25.98,2.546,346.92
40.178,60.88,24.0,27.02,2.648,346.75
40.494,61.05,24.0,27.1,2.656,347.42
40.836,61.21,24.1,27.29,2.674,347.83
41.177,61.38,24.2,28.47,2.79,347.08
41.518,61.56,24.2,28.53,2.796,346.33
41.86,61.73,24.3,28.5,2.793,346.5
42.191,61.9,24.4,29.6,2.901,347.17
42.532,62.07,24.4,29.79,2.92,347.17
43.068,62.25,24.5,29.73,2.913,346.33
43.212,62.52,24.6,30.79,3.018,346.0
43.896,62.59,24.6,31.15,3.052,347.08
44.236,62.94,24.8,31.82,3.119,346.67
44.569,63.11,24.8,32.0,3.136,346.17
44.908,63.28,24.9,32.14,3.15,346.17
45.249,63.45,25.0,32.9,3.224,346.92
45.59,63.63,25.0,33.0,3.234,347.33
45.932,63.8,25.1,32.91,3.225,346.5
46.273,63.97,25.2,34.24,3.356,345.67
46.604,64.15,25.3,34.29,3.36,346.0
46.946,64.31,25.3,34.09,3.34,346.67
47.285,64.49,25.4,34.85,3.415,346.58
47.627,64.66,25.5,34.91,3.422,345.75
47.968,64.83,25.5,34.68,3.399,345.5
48.309,65.01,25.6,35.86,3.515,346.17
48.779,65.18,25.7,36.2,3.548,346.75
48.982,65.42,25.8,36.28,3.555,346.17
49.663,65.52,25.8,31.38,3.075,345.5
50.007,65.87,25.9,31.68,3.104,346.25
