#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: True
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 50 C/min
#	Sample name: BASELINE_XTBC003
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
25.545,53.45,21.0,10.71,1.049,350.0
25.946,53.62,21.1,10.96,1.074,349.92
26.356,53.82,21.2,11.56,1.133,349.33
26.555,54.03,21.3,12.23,1.199,348.67
27.38,54.13,21.3,12.72,1.247,349.75
27.792,54.55,21.5,13.19,1.292,349.58
28.007,54.76,21.6,13.35,1.309,348.92
28.613,54.87,21.6,14.16,1.388,348.67
29.295,55.18,21.7,15.98,1.566,349.33
29.619,55.52,21.9,15.53,1.522,348.5
29.96,55.69,21.9,16.47,1.614,347.75
30.46,55.86,22.0,17.21,1.686,348.58
30.66,56.11,22.1,17.12,1.678,349.33
31.48,56.22,22.1,18.75,1.837,348.33
31.681,56.63,22.3,19.03,1.865,347.58
32.329,56.73,22.3,20.83,2.041,348.83
32.759,57.06,22.5,21.45,2.102,348.5
33.117,57.28,22.6,22.21,2.176,347.67
33.529,57.46,22.6,22.6,2.215,347.33
33.731,57.67,22.7,22.95,2.249,348.17
34.549,57.78,22.7,23.66,2.319,348.17
34.759,58.19,22.9,24.6,2.411,347.25
35.379,58.3,23.0,24.87,2.438,347.17
36.055,58.61,23.1,26.22,2.57,347.67
36.396,58.96,23.2,26.23,2.571,347.08
36.737,59.13,23.3,27.13,2.658,346.75
37.076,59.3,23.3,27.19,2.665,347.5
37.414,59.47,23.4,27.75,2.72,347.83
37.8,59.65,23.5,28.32,2.776,347.42
38.097,59.84,23.6,27.9,2.734,346.67
38.433,59.99,23.6,28.7,2.813,346.75
38.85,60.16,23.7,29.25,2.866,347.42
39.264,60.38,23.8,29.13,2.855,347.33
39.466,60.59,23.9,29.95,2.935,346.67
40.283,60.69,23.9,30.03,2.943,346.67
40.48,61.1,24.1,30.7,3.008,347.33
41.311,61.2,24.1,31.25,3.062,346.75
41.494,61.63,24.3,32.08,3.144,346.08
42.35,61.72,24.3,32.41,3.176,346.83
42.512,62.15,24.5,32.79,3.213,346.75
43.36,62.24,24.5,32.97,3.231,345.83
43.533,62.67,24.7,32.89,3.223,346.5
44.198,62.75,24.7,33.25,3.258,346.25
44.878,63.09,24.8,34.54,3.385,345.83
45.24,63.44,25.0,35.63,3.492,346.67
45.612,63.62,25.0,35.07,3.437,346.75
46.017,63.81,25.1,35.81,3.509,346.0
46.243,64.02,25.2,36.54,3.581,345.33
46.912,64.13,25.2,37.77,3.701,346.58
47.266,64.47,25.4,37.47,3.672,346.5
47.595,64.65,25.5,37.95,3.72,345.67
47.935,64.82,25.5,38.03,3.727,345.33
48.283,64.99,25.6,37.78,3.702,346.0
48.682,65.17,25.7,37.93,3.717,346.5
48.948,65.37,25.7,37.7,3.695,346.17
49.302,65.51,25.8,36.29,3.556,345.42
49.63,65.69,25.9,28.82,2.825,345.58
49.974,65.85,25.9,28.98,2.84,346.25
50.53,66.03,26.0,29.15,2.857,346.33
